2316	10019
54345	4208
58529	88
685	4318
7534	9610
6672	2113
7837	25
9400	8940
5764	51588
8655	23139
3732	4790
9379	23499
5693	5347
2099	9584
633	7124
4204	9611
5553	54822
50628	10241
322	10524
3240	3684
331	839
5781	10818
6223	2258
867	6456
1399	5781
580	7323
920	3118
5216	5295
8727	11214
92344	25898
6627	6629
3977	5451
1725	1984
54822	140803
1869	55771
10474	79595
5868	8411
2956	4595
11184	28988
3574	3561
30011	8731
823	1892
2912	6002
2492	10971
5747	7094
6868	7078
3815	6772
8504	5824
55916	56001
1788	29947
7041	9618
81	9712
100	135
351	3163
2736	7545
1207	10419
529	6654
7157	80854
1107	10320
4176	54675
8785	4147
8651	5159
6375	2829
10728	3308
8890	8893
3572	7088
54998	84962
5578	22927
990	28227
9344	84466
4155	8576
7057	4041
3490	3624
1452	3146
1398	1600
624	4842
4088	22938
6045	84148
375	8394
5587	11214
2534	5296
5925	132660
4843	9368
7099	353376
9641	10010
1398	2885
334	10307
3320	3551
10254	10617
1277	22918
1084	6279
5932	5933
2869	28964
6624	4804
3064	9611
1268	2773
5024	22953
2925	29094
5580	7532
1869	5926
2099	9862
2335	5068
369	1373
1019	5925
8204	2908
5156	9368
6256	23421
2114	3725
3280	11198
1630	26060
11100	29117
6616	84258
1487	4842
8312	324
5598	6446
10538	10535
8573	9378
2242	56896
6599	10155
2316	2811
672	5469
1137	7447
7531	28954
3815	5800
376267	5877
54205	84701
5649	7804
3265	266747
91746	202559
59	1773
2033	6772
3625	130399
8517	26133
23528	983
6789	83593
387	4983
3728	1830
3646	5987
613	5777
57562	9001
55729	5437
3952	5563
5395	4436
5441	5431
2071	2965
400	60592
4691	6738
5063	9459
5925	5928
10096	10094
9022	225689
6813	6844
5894	7532
8408	11337
633	1280
10567	53916
1176	10239
9699	10567
4036	7276
1520	6317
5864	10567
3273	7057
4804	857
2885	4233
2122	4088
7157	8493
2204	2209
1285	22918
5999	9276
4197	51199
203068	5203
5701	5704
5817	10053
4986	9737
4790	23421
5594	6197
8601	28962
998	23779
11187	1823
6549	6709
920	8797
984	81669
1387	10370
93	3547
6095	10499
64174	85509
4488	2962
54825	23139
6714	2113
8028	84444
9632	10484
8797	8772
3416	3479
10388	1962
3725	2019
79101	11232
1476	1509
29760	30011
5627	2153
23369	340719
2060	85439
8200	657
1816	23413
332	5921
1161	56949
8467	80012
6997	130399
8448	10497
633	1278
347902	386724
4352	7066
5434	5432
29945	51434
1000	1002
317	841
7919	11244
4318	7058
23013	53615
80319	1855
2781	6001
1874	55771
10672	9138
2963	6877
1387	4602
983	5300
9093	3064
408	1213
721	1378
2885	2889
1398	7514
3897	5962
7514	9972
5443	4157
4654	1387
3791	80781
6520	23657
924	5295
5430	6294
8317	55388
7428	55662
4217	5894
925	140890
8936	9051
